source_brand_raw,source_line_raw,source_paint_name_raw,source_code_raw,target_brand_raw,target_line_raw,target_paint_name_raw,target_code_raw,notes_raw
The Army Painter,Warpaints Fanatic,Aquamarine,,Warhammer Colour,,Baharroth Blue,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Talisman Teal,,The Army Painter,Original Warpaints,Elemental Bolt,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Talisman Teal,,The Army Painter,Warpaints Air,Elemental Bolt,,Ambiguous middle conversion line from PDF text layer; candidate AIR row; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Talisman Teal,,Warhammer Colour,,Elemental Bolt,,Ambiguous middle conversion line from PDF text layer; candidate GW row; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Eternal Hunt,,The Army Painter,Original Warpaints,Goblin Green,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Eternal Hunt,,The Army Painter,Warpaints Air,Goblin Green,,AIR Warpaints Air conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Eternal Hunt,,Warhammer Colour,,Sybarite Green,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Uniform Grey,,The Army Painter,Original Warpaints,Uniform Grey,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Uniform Grey,,The Army Painter,Warpaints Air,Uniform Grey,,AIR Warpaints Air conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Uniform Grey,,Warhammer Colour,,Dawnstone,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Great Hall Grey,,The Army Painter,Original Warpaints,Stone Golem,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Stratos Blue,,The Army Painter,Original Warpaints,Griffon Blue,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Ultramarine Blue,,The Army Painter,Original Warpaints,Ultramarine Blue,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Ultramarine Blue,,The Army Painter,Warpaints Air,Ultramarine Blue,,AIR Warpaints Air conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Ultramarine Blue,,Warhammer Colour,,Altdorf Guard Blue,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Royal Blue,,The Army Painter,Original Warpaints,Viking Blue,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Royal Blue,,The Army Painter,Warpaints Air,Sapphire Gem,,Ambiguous middle conversion line from PDF text layer; candidate AIR row; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Royal Blue,,Warhammer Colour,,Sapphire Gem,,Ambiguous middle conversion line from PDF text layer; candidate GW row; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Tidal Blue,,Warhammer Colour,,Ahriman Blue,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Turquoise Siren,,The Army Painter,Original Warpaints,Royal Cloak,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Pharaoh Guard,,The Army Painter,Original Warpaints,Wizards Orb,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Pharaoh Guard,,The Army Painter,Warpaints Air,Wizards Orb,,Ambiguous middle conversion line from PDF text layer; candidate AIR row; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Pharaoh Guard,,Warhammer Colour,,Wizards Orb,,Ambiguous middle conversion line from PDF text layer; candidate GW row; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Greenskin,,The Army Painter,Original Warpaints,Greenskin,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Greenskin,,The Army Painter,Warpaints Air,Greenskin,,AIR Warpaints Air conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Greenskin,,Warhammer Colour,,Warpstone Glow,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Deep Grey,,The Army Painter,Original Warpaints,Necromancer Cloak,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Deep Grey,,Warhammer Colour,,Mechanicus Standard Grey,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Gargoyle Grey,,Warhammer Colour,,Ionrach Skin,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Thunderous Blue,,Warhammer Colour,,The Fang,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Gothic Blue,,Warhammer Colour,,Macragge Blue,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Regal Blue,,Warhammer Colour,,Caledor Sky,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Abyssal Blue,,The Army Painter,Warpaints Air,Twilight Sky,,AIR Warpaints Air conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Abyssal Blue,,Warhammer Colour,,Thousand Sons Blue,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Hydra Turquoise,,The Army Painter,Original Warpaints,Hydra Turquoise,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Hydra Turquoise,,The Army Painter,Warpaints Air,Hydra Turquoise,,AIR Warpaints Air conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Hydra Turquoise,,Warhammer Colour,,Temple Guard Blue,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Temple Gate Teal,,The Army Painter,Warpaints Air,Ruinous Spell,,AIR Warpaints Air conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Temple Gate Teal,,Warhammer Colour,,Kabalite Green,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Guardian Green,,The Army Painter,Warpaints Air,Savage Green,,Ambiguous middle conversion line from PDF text layer; candidate AIR row; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Guardian Green,,Warhammer Colour,,Savage Green,,Ambiguous middle conversion line from PDF text layer; candidate GW row; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Matt Black,,The Army Painter,Original Warpaints,Matt Black,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Matt Black,,The Army Painter,Warpaints Air,Matt Black,,AIR Warpaints Air conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Matt Black,,Warhammer Colour,,Abaddon Black,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Grey Castle,,The Army Painter,Original Warpaints,Combat Fatigues,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Night Sky,,Warhammer Colour,,Dark Reaper,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Triumphant Navy,,The Army Painter,Original Warpaints,Dark Sky,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Triumphant Navy,,The Army Painter,Warpaints Air,Dark Sky,,AIR Warpaints Air conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Triumphant Navy,,Warhammer Colour,,Kantor Blue,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Imperial Navy,,The Army Painter,Original Warpaints,Deep Blue,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Imperial Navy,,Warhammer Colour,,Nightlords Blue,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Deep Ocean Blue,,The Army Painter,Warpaints Air,Thunder Storm,,AIR Warpaints Air conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Deep Ocean Blue,,Warhammer Colour,,Stegadon Scale Green,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Deep Azure,,The Army Painter,Warpaints Air,Ocean Depths,,AIR Warpaints Air conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Deep Azure,,Warhammer Colour,,Sotek Green,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Scarab Green,,The Army Painter,Original Warpaints,Obsidian Pigment Toner,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Scarab Green,,Warhammer Colour,,Incubi Darkness,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Angel Green,,The Army Painter,Original Warpaints,Angel Green,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Angel Green,,The Army Painter,Warpaints Air,Angel Green,,AIR Warpaints Air conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Angel Green,,Warhammer Colour,,Caliban Green,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Urban Buff,,The Army Painter,Original Warpaints,Kobold Skin,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Urban Buff,,The Army Painter,Warpaints Air,Kobold Skin,,Ambiguous middle conversion line from PDF text layer; candidate AIR row; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Urban Buff,,Warhammer Colour,,Kobold Skin,,Ambiguous middle conversion line from PDF text layer; candidate GW row; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Barren Dune,,The Army Painter,Original Warpaints,Troll Claws,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Barren Dune,,Warhammer Colour,,Ungor Flesh,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Pale Sand,,The Army Painter,Warpaints Air,Hobgoblin Hue,,AIR Warpaints Air conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Pale Sand,,Warhammer Colour,,Wraithbone,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Ice Yellow,,The Army Painter,Original Warpaints,Arid Earth,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Ice Yellow,,The Army Painter,Warpaints Air,Cosmic Dust,,AIR Warpaints Air conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Ice Yellow,,Warhammer Colour,,Dorn Yellow,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Inner Light,,The Army Painter,Original Warpaints,Phoenix Flames,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Raging Rouge,,Warhammer Colour,,Ratskin Flesh,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Buffed Hide,,Warhammer Colour,,Deathclaw Brown,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Raging Rose,,The Army Painter,Warpaints Air,Wyrmling Red,,Ambiguous middle conversion line from PDF text layer; candidate AIR row; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Raging Rose,,Warhammer Colour,,Wyrmling Red,,Ambiguous middle conversion line from PDF text layer; candidate GW row; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Command Khaki,,The Army Painter,Warpaints Air,Gnome Cheecks,,AIR Warpaints Air conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Command Khaki,,Warhammer Colour,,Knight-Questor Flesh,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Burnt Turf,,The Army Painter,Original Warpaints,Hemp Rope,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Burnt Turf,,Warhammer Colour,,Zamesi Desert,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Bony Spikes,,The Army Painter,Warpaints Air,Bleached Bone,,AIR Warpaints Air conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Bony Spikes,,Warhammer Colour,,Screaming Skull,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Space Dust,,The Army Painter,Original Warpaints,Moon Dust,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Space Dust,,The Army Painter,Warpaints Air,Moon Dust,,AIR Warpaints Air conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Space Dust,,Warhammer Colour,,Flash Gitz Yellow,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Glowing Inferno,,The Army Painter,Warpaints Air,Incursion Orange,,AIR Warpaints Air conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Glowing Inferno,,Warhammer Colour,,Yriel Yellow,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Violent Vermillion,,The Army Painter,Warpaints Air,Nomad Flesh,,AIR Warpaints Air conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Violent Vermillion,,Warhammer Colour,,Lugganath Orange,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Ruddy Umber,,The Army Painter,Original Warpaints,Tanned Flesh,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Ruddy Umber,,The Army Painter,Warpaints Air,Viper Brown,,AIR Warpaints Air conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Ruddy Umber,,Warhammer Colour,,Bugman’s Glow,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Paratrooper Tan,,The Army Painter,Original Warpaints,Monster Brown,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Paratrooper Tan,,Warhammer Colour,,Baneblade Brown,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Wasteland Clay,,The Army Painter,Original Warpaints,Basilisk Brown,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Wasteland Clay,,The Army Painter,Warpaints Air,Yellow Dune,,AIR Warpaints Air conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Wasteland Clay,,Warhammer Colour,,Balor Brown,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Warped Yellow,,The Army Painter,Original Warpaints,Babe Blonde,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Warped Yellow,,The Army Painter,Warpaints Air,Meteor Rock,,AIR Warpaints Air conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Warped Yellow,,Warhammer Colour,,Phalanx Yellow,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Flickering Flame,,The Army Painter,Warpaints Air,Orange Magma,,Ambiguous middle conversion line from PDF text layer; candidate AIR row; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Flickering Flame,,Warhammer Colour,,Orange Magma,,Ambiguous middle conversion line from PDF text layer; candidate GW row; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Fur Brown,,The Army Painter,Original Warpaints,Fur Brown,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Fur Brown,,The Army Painter,Warpaints Air,Fur Brown,,Ambiguous middle conversion line from PDF text layer; candidate AIR row; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Fur Brown,,Warhammer Colour,,Fur Brown,,Ambiguous middle conversion line from PDF text layer; candidate GW row; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Pure Red,,The Army Painter,Original Warpaints,Pure Red,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Pure Red,,The Army Painter,Warpaints Air,Pure Red,,Ambiguous middle conversion line from PDF text layer; candidate AIR row; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Pure Red,,Warhammer Colour,,Pure Red,,Ambiguous middle conversion line from PDF text layer; candidate GW row; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Weird Elixir,,The Army Painter,Warpaints Air,Fey Pink,,AIR Warpaints Air conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Weird Elixir,,Warhammer Colour,,Fulgrim Pink,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Leather Brown,,The Army Painter,Original Warpaints,Leather Brown,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Leather Brown,,The Army Painter,Warpaints Air,Leather Brown,,AIR Warpaints Air conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Leather Brown,,Warhammer Colour,,Mournfang Brown,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Desert Yellow,,The Army Painter,Original Warpaints,Desert Yellow,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Desert Yellow,,The Army Painter,Warpaints Air,Desert Yellow,,AIR Warpaints Air conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Desert Yellow,,Warhammer Colour,,Hobgrot Hide,,GW Citadel by Games Workshop conversion; extracted from Army Painter Warpaints Fanatic conversion chart
The Army Painter,Warpaints Fanatic,Skeleton Bone,,The Army Painter,Original Warpaints,Skeleton Bone,,WP original Warpaints conversion; extracted from Army Painter Warpaints Fanatic conversion chart
